,DateTime,Radiation,Temperature,elec
0,5/1/2023 0:00,1.26,9.17,0.33838035210000006
1,5/1/2023 1:00,1.27,10.23,0.339483677775
2,5/1/2023 2:00,1.28,10.05,0.3424270464
3,5/1/2023 3:00,1.27,10.09,0.33969259277499997
4,5/1/2023 4:00,1.27,10.09,0.33969259277499997
5,5/1/2023 5:00,1.28,10.0,0.3425022464
6,5/1/2023 6:00,10.81,9.68,2.892971632475
7,5/1/2023 7:00,137.55,10.79,36.017207874375
8,5/1/2023 8:00,460.83,11.99,114.76625181877499
9,5/1/2023 9:00,569.09,12.59,139.15464226697497
10,5/1/2023 10:00,493.26,12.73,121.84993641209999
11,5/1/2023 11:00,960.82,14.12,219.9462015779
12,5/1/2023 12:00,959.33,13.98,219.813314281275
13,5/1/2023 13:00,620.27,13.89,149.602755377775
14,5/1/2023 14:00,459.67,13.01,113.945243938775
15,5/1/2023 15:00,305.45,12.64,77.509735836875
16,5/1/2023 16:00,149.43,11.9,38.870492572275
17,5/1/2023 17:00,54.67,11.39,14.436413458775
18,5/1/2023 18:00,2.31,11.06,0.615148547475
19,5/1/2023 19:00,1.27,10.83,0.338588327775
20,5/1/2023 20:00,1.28,10.65,0.3415246464
21,5/1/2023 21:00,1.28,10.65,0.3415246464
22,5/1/2023 22:00,1.27,10.32,0.33934937527500003
23,5/1/2023 23:00,1.28,10.42,0.3418705664
24,5/2/2023 0:00,1.27,10.21,0.339513522775
25,5/2/2023 1:00,1.27,10.56,0.338991235275
26,5/2/2023 2:00,1.26,9.81,0.33743283209999997
27,5/2/2023 3:00,1.25,9.49,0.335225234375
28,5/2/2023 4:00,1.26,8.75,0.3390021621
29,5/2/2023 5:00,1.24,8.66,0.3337531796
30,5/2/2023 6:00,27.02,9.31,7.2273986309
31,5/2/2023 7:00,242.1,11.3,62.35611729749999
32,5/2/2023 8:00,420.41,12.82,104.888951689475
33,5/2/2023 9:00,565.54,12.96,138.1114933011
34,5/2/2023 10:00,625.77,13.75,150.91091691277498
35,5/2/2023 11:00,783.63,14.07,184.325285996775
36,5/2/2023 12:00,732.83,13.94,173.800339001275
37,5/2/2023 13:00,754.75,14.21,178.176332609375
38,5/2/2023 14:00,437.71,13.8,108.434214545475
39,5/2/2023 15:00,323.55,13.06,81.73661248687499
40,5/2/2023 16:00,168.76,12.27,43.71035208960001
41,5/2/2023 17:00,53.55,11.9,14.110685386875
42,5/2/2023 18:00,1.7,11.25,0.45236375250000005
43,5/2/2023 19:00,1.24,11.11,0.3301835296
44,5/2/2023 20:00,1.23,10.88,0.32785360027500005
45,5/2/2023 21:00,1.23,10.56,0.328316080275
46,5/2/2023 22:00,1.24,10.56,0.3309848796
47,5/2/2023 23:00,1.24,10.42,0.3311888596
48,5/3/2023 0:00,1.25,10.0,0.33447617187499995
49,5/3/2023 1:00,1.23,9.86,0.329327755275
50,5/3/2023 2:00,1.24,9.26,0.33287897959999996
51,5/3/2023 3:00,1.22,8.38,0.3287723039
52,5/3/2023 4:00,1.23,8.98,0.330599575275
53,5/3/2023 5:00,1.22,8.94,0.3279695439
54,5/3/2023 6:00,25.61,9.12,6.8572374984749995
55,5/3/2023 7:00,173.76,10.23,45.3912744096
56,5/3/2023 8:00,287.83,11.92,73.460833931275
57,5/3/2023 9:00,395.99,12.96,99.07208570647501
58,5/3/2023 10:00,492.32,12.92,121.52413095040001
59,5/3/2023 11:00,305.56,12.31,77.6549450656
60,5/3/2023 12:00,379.75,12.41,95.471831984375
61,5/3/2023 13:00,338.23,12.22,85.60394726027499
62,5/3/2023 14:00,172.27,11.94,44.664956695275
63,5/3/2023 15:00,189.14,11.67,48.9864211641
64,5/3/2023 16:00,131.19,11.71,34.239448974975005
65,5/3/2023 17:00,41.92,11.25,11.0953256544
66,5/3/2023 18:00,1.82,11.11,0.48458700289999995
67,5/3/2023 19:00,1.25,11.11,0.332845859375
