+-----+-----------------+-------------+---------------+---------------+
|     | DateTime        |   Radiation |   Temperature |   Electricity |
|-----+-----------------+-------------+---------------+---------------|
|   0 | 5/1/2023 0:00   |        1.26 |          9.17 |   0.00033838  |
|   1 | 5/1/2023 1:00   |        1.27 |         10.23 |   0.000339484 |
|   2 | 5/1/2023 2:00   |        1.28 |         10.05 |   0.000342427 |
|   3 | 5/1/2023 3:00   |        1.27 |         10.09 |   0.000339693 |
|   4 | 5/1/2023 4:00   |        1.27 |         10.09 |   0.000339693 |
|   5 | 5/1/2023 5:00   |        1.28 |         10    |   0.000342502 |
|   6 | 5/1/2023 6:00   |       10.81 |          9.68 |   0.00289297  |
|   7 | 5/1/2023 7:00   |      137.55 |         10.79 |   0.0360172   |
|   8 | 5/1/2023 8:00   |      460.83 |         11.99 |   0.114766    |
|   9 | 5/1/2023 9:00   |      569.09 |         12.59 |   0.139155    |
|  10 | 5/1/2023 10:00  |      493.26 |         12.73 |   0.12185     |
|  11 | 5/1/2023 11:00  |      960.82 |         14.12 |   0.219946    |
|  12 | 5/1/2023 12:00  |      959.33 |         13.98 |   0.219813    |
|  13 | 5/1/2023 13:00  |      620.27 |         13.89 |   0.149603    |
|  14 | 5/1/2023 14:00  |      459.67 |         13.01 |   0.113945    |
|  15 | 5/1/2023 15:00  |      305.45 |         12.64 |   0.0775097   |
|  16 | 5/1/2023 16:00  |      149.43 |         11.9  |   0.0388705   |
|  17 | 5/1/2023 17:00  |       54.67 |         11.39 |   0.0144364   |
|  18 | 5/1/2023 18:00  |        2.31 |         11.06 |   0.000615149 |
|  19 | 5/1/2023 19:00  |        1.27 |         10.83 |   0.000338588 |
|  20 | 5/1/2023 20:00  |        1.28 |         10.65 |   0.000341525 |
|  21 | 5/1/2023 21:00  |        1.28 |         10.65 |   0.000341525 |
|  22 | 5/1/2023 22:00  |        1.27 |         10.32 |   0.000339349 |
|  23 | 5/1/2023 23:00  |        1.28 |         10.42 |   0.000341871 |
|  24 | 5/2/2023 0:00   |        1.27 |         10.21 |   0.000339514 |
|  25 | 5/2/2023 1:00   |        1.27 |         10.56 |   0.000338991 |
