DateTime,Consume
5/1/2023 0:00,159.2
5/1/2023 1:00,159.3
5/1/2023 2:00,159.4
5/1/2023 3:00,159.4
5/1/2023 4:00,159.4
5/1/2023 5:00,159.5
5/1/2023 6:00,148.7
5/1/2023 7:00,148.7
5/1/2023 8:00,0
5/1/2023 9:00,486.2
5/1/2023 10:00,159.2
5/1/2023 11:00,109.3
5/1/2023 12:00,159.9
5/1/2023 13:00,159.7
5/1/2023 14:00,161.1
5/1/2023 15:00,167.4
5/1/2023 16:00,167.4
5/1/2023 17:00,167.5
5/1/2023 18:00,167.6
5/1/2023 19:00,167.8
5/1/2023 20:00,161.7
5/1/2023 21:00,161
5/1/2023 22:00,160.3
5/1/2023 23:00,160.3
5/2/2023 0:00,159.7
5/2/2023 1:00,159.6
5/2/2023 2:00,159.5
5/2/2023 3:00,159.7
5/2/2023 4:00,159.5
5/2/2023 5:00,159.4
5/2/2023 6:00,159.4
5/2/2023 7:00,159
5/2/2023 8:00,158.6
5/2/2023 9:00,163.4
5/2/2023 10:00,166.4
5/2/2023 11:00,166.3
5/2/2023 12:00,161.6
5/2/2023 13:00,165.2
5/2/2023 14:00,160.9
5/2/2023 15:00,163.6
5/2/2023 16:00,160.7
5/2/2023 17:00,160.7
5/2/2023 18:00,161.1
5/2/2023 19:00,165.1
5/2/2023 20:00,166.9
5/2/2023 21:00,167
5/2/2023 22:00,163
5/2/2023 23:00,163
5/3/2023 0:00,159.8
5/3/2023 1:00,160
5/3/2023 2:00,160.2
5/3/2023 3:00,160.1
5/3/2023 4:00,160.2
5/3/2023 5:00,160.2
5/3/2023 6:00,157.3
5/3/2023 7:00,159.4
5/3/2023 8:00,164.9
5/3/2023 9:00,166.8
5/3/2023 10:00,166.3
5/3/2023 11:00,161.3
5/3/2023 12:00,161.2
5/3/2023 13:00,161.1
5/3/2023 14:00,161.1
5/3/2023 15:00,161
5/3/2023 16:00,160.9
5/3/2023 17:00,161.1
5/3/2023 18:00,162.5
5/3/2023 19:00,166.7
5/3/2023 20:00,166.9
5/3/2023 21:00,166.9
5/3/2023 22:00,166.3
5/3/2023 23:00,166.3
5/4/2023 0:00,159.6
5/4/2023 1:00,159.2
5/4/2023 2:00,156.6
5/4/2023 3:00,159.6
5/4/2023 4:00,159.6
5/4/2023 5:00,160
5/4/2023 6:00,159.5
5/4/2023 7:00,162.3
5/4/2023 8:00,166.3
5/4/2023 9:00,162.9
5/4/2023 10:00,160.8
5/4/2023 11:00,160.7
5/4/2023 12:00,160.6
5/4/2023 13:00,160.5
5/4/2023 14:00,160.2
5/4/2023 15:00,160.2
5/4/2023 16:00,160.3
5/4/2023 17:00,160.1
5/4/2023 18:00,160.1
5/4/2023 19:00,160.1
5/4/2023 20:00,160.1
5/4/2023 21:00,160.3
5/4/2023 22:00,155.9
5/4/2023 23:00,155.9
5/5/2023 0:00,158.7
5/5/2023 1:00,157.5
5/5/2023 2:00,157.6
5/5/2023 3:00,158.1
5/5/2023 4:00,158.3
5/5/2023 5:00,158.6
5/5/2023 6:00,158.2
5/5/2023 7:00,155
5/5/2023 8:00,163.2
5/5/2023 9:00,157.9
5/5/2023 10:00,157.8
5/5/2023 11:00,157.6
5/5/2023 12:00,163.3
5/5/2023 13:00,162.2
5/5/2023 14:00,160
5/5/2023 15:00,160
5/5/2023 16:00,160.1
5/5/2023 17:00,160.2
5/5/2023 18:00,159.2
5/5/2023 19:00,153
5/5/2023 20:00,153.6
5/5/2023 21:00,153.9
5/5/2023 22:00,156.7
5/5/2023 23:00,156.7
5/6/2023 0:00,159.8
5/6/2023 1:00,159.4
5/6/2023 2:00,159
5/6/2023 3:00,159.1
5/6/2023 4:00,159.1
5/6/2023 5:00,159.4
5/6/2023 6:00,159.4
5/6/2023 7:00,159.3
5/6/2023 8:00,159.2
5/6/2023 9:00,160.5
5/6/2023 10:00,166.1
5/6/2023 11:00,161.5
5/6/2023 12:00,161.3
5/6/2023 13:00,161.4
5/6/2023 14:00,161.4
5/6/2023 15:00,161.6
5/6/2023 16:00,161.4
5/6/2023 17:00,161.4
5/6/2023 18:00,161.4
5/6/2023 19:00,161.6
5/6/2023 20:00,156.1
5/6/2023 21:00,154.4
5/6/2023 22:00,154.7
5/6/2023 23:00,154.7
5/7/2023 0:00,160.1
5/7/2023 1:00,160
5/7/2023 2:00,160.4
5/7/2023 3:00,159.6
5/7/2023 4:00,159.8
5/7/2023 5:00,159.9
5/7/2023 6:00,159.7
5/7/2023 7:00,159.6
5/7/2023 8:00,159.7
5/7/2023 9:00,159.4
5/7/2023 10:00,163.5
5/7/2023 11:00,167.3
5/7/2023 12:00,162.5
5/7/2023 13:00,161.9
5/7/2023 14:00,161.5
5/7/2023 15:00,161.6
5/7/2023 16:00,161.7
5/7/2023 17:00,161.7
5/7/2023 18:00,161.7
5/7/2023 19:00,161.6
5/7/2023 20:00,156.7
5/7/2023 21:00,159.7
5/7/2023 22:00,159.9
5/7/2023 23:00,159.9
5/8/2023 0:00,160.6
5/8/2023 1:00,160.4
5/8/2023 2:00,160
5/8/2023 3:00,159.9
5/8/2023 4:00,159.7
5/8/2023 5:00,159.8
5/8/2023 6:00,159.6
5/8/2023 7:00,159.3
5/8/2023 8:00,160.1
5/8/2023 9:00,166.5
5/8/2023 10:00,166.6
5/8/2023 11:00,166.6
5/8/2023 12:00,166.5
5/8/2023 13:00,166.2
5/8/2023 14:00,166.3
5/8/2023 15:00,166.1
5/8/2023 16:00,166.1
5/8/2023 17:00,166
5/8/2023 18:00,166.4
5/8/2023 19:00,166.5
5/8/2023 20:00,166.6
5/8/2023 21:00,166.9
5/8/2023 22:00,166.7
5/8/2023 23:00,166.7
5/9/2023 0:00,159.3
5/9/2023 1:00,159.4
5/9/2023 2:00,159.9
5/9/2023 3:00,160.2
5/9/2023 4:00,160.4
5/9/2023 5:00,159.8
5/9/2023 6:00,159.8
5/9/2023 7:00,159.6
5/9/2023 8:00,159.2
5/9/2023 9:00,167
5/9/2023 10:00,165.8
5/9/2023 11:00,161.9
5/9/2023 12:00,159
5/9/2023 13:00,167.3
5/9/2023 14:00,161.6
5/9/2023 15:00,161.4
5/9/2023 16:00,161.4
5/9/2023 17:00,161.3
5/9/2023 18:00,161.5
5/9/2023 19:00,161.7
5/9/2023 20:00,158.1
5/9/2023 21:00,154.2
5/9/2023 22:00,154.6
5/9/2023 23:00,154.6
5/10/2023 0:00,153.7
5/10/2023 1:00,153.7
5/10/2023 2:00,153.7
5/10/2023 3:00,153.7
5/10/2023 4:00,153.6
5/10/2023 5:00,153.9
5/10/2023 6:00,154
5/10/2023 7:00,153.8
5/10/2023 8:00,153.4
5/10/2023 9:00,160.3
5/10/2023 10:00,161.5
5/10/2023 11:00,161.4
5/10/2023 12:00,161.5
5/10/2023 13:00,161.4
5/10/2023 14:00,161.4
5/10/2023 15:00,161.4
5/10/2023 16:00,161.3
5/10/2023 17:00,161.4
5/10/2023 18:00,161.5
5/10/2023 19:00,161.7
5/10/2023 20:00,161.7
5/10/2023 21:00,161.9
5/10/2023 22:00,160.9
5/10/2023 23:00,160.9
5/11/2023 0:00,154.6
5/11/2023 1:00,154.1
5/11/2023 2:00,154.1
5/11/2023 3:00,154.2
5/11/2023 4:00,154.2
5/11/2023 5:00,154.3
5/11/2023 6:00,154.3
5/11/2023 7:00,154.1
5/11/2023 8:00,153.5
5/11/2023 9:00,161.2
5/11/2023 10:00,161.4
5/11/2023 11:00,161.3
5/11/2023 12:00,161.1
5/11/2023 13:00,161.1
5/11/2023 14:00,160.7
5/11/2023 15:00,160.7
5/11/2023 16:00,160.5
5/11/2023 17:00,160.5
5/11/2023 18:00,160.5
5/11/2023 19:00,160.5
5/11/2023 20:00,160.5
5/11/2023 21:00,160.5
5/11/2023 22:00,160.4
5/11/2023 23:00,160.4
5/12/2023 0:00,152.9
5/12/2023 1:00,153
5/12/2023 2:00,152.9
5/12/2023 3:00,152.8
5/12/2023 4:00,154
5/12/2023 5:00,160.2
5/12/2023 6:00,160.2
5/12/2023 7:00,159.8
5/12/2023 8:00,159.5
5/12/2023 9:00,159.5
5/12/2023 10:00,159.3
5/12/2023 11:00,159.1
5/12/2023 12:00,159
5/12/2023 13:00,158.7
5/12/2023 14:00,158.7
5/12/2023 15:00,158.9
5/12/2023 16:00,159
5/12/2023 17:00,158.9
5/12/2023 18:00,159
5/12/2023 19:00,155
5/12/2023 20:00,151.9
5/12/2023 21:00,152
5/12/2023 22:00,152.3
5/12/2023 23:00,152.3
5/13/2023 0:00,152.7
5/13/2023 1:00,152.4
5/13/2023 2:00,152
