date_time,radiation,temperature,consume,energy_pv,energy_bi,energy_bo,energy_pg
5/1/2023 0:00,1.26,9.17,159.2,0.6768,0,175.6865,0
5/1/2023 1:00,1.27,10.23,159.3,0.679,0,175.795,0
5/1/2023 2:00,1.28,10.05,159.4,0.6849,0,175.8996,0
5/1/2023 3:00,1.27,10.09,159.4,0.6794,0,175.9054,0
5/1/2023 4:00,1.27,10.09,159.4,0.6794,0,175.9054,0
5/1/2023 5:00,1.28,10,159.5,0.685,0,176.0102,0
5/1/2023 6:00,10.81,9.68,148.7,5.7859,0,78.7979,75.8823
5/1/2023 7:00,137.55,10.79,148.7,72.0344,0,0,84.4919
5/1/2023 8:00,460.83,11.99,0,0,218.0559,0,0
5/1/2023 9:00,569.09,12.59,486.2,278.3093,0,218.0559,26.3271
5/1/2023 10:00,493.26,12.73,159.2,167.5789,72.3149,0,0
5/1/2023 11:00,960.82,14.12,109.3,115.0526,308.5978,0,0
5/1/2023 12:00,959.33,13.98,159.9,168.3158,257.7453,0,0
5/1/2023 13:00,620.27,13.89,159.7,168.1053,124.5452,0,0
5/1/2023 14:00,459.67,13.01,161.1,169.5789,55.396,0,0
5/1/2023 15:00,305.45,12.64,167.4,155.0195,0,22.3064,0
5/1/2023 16:00,149.43,11.9,167.4,77.741,0,103.6521,0
5/1/2023 17:00,54.67,11.39,167.5,28.8728,0,155.2031,0
5/1/2023 18:00,2.31,11.06,167.6,1.2303,0,184.4113,0
5/1/2023 19:00,1.27,10.83,167.8,0.6772,0,185.2152,0
5/1/2023 20:00,1.28,10.65,161.7,0.683,0,167.811,10.107
5/1/2023 21:00,1.28,10.65,161,0.683,0,0,168.7906
5/1/2023 22:00,1.27,10.32,160.3,0.6787,0,0,168.0581
5/1/2023 23:00,1.28,10.42,160.3,0.6837,0,0,168.0531
5/2/2023 0:00,1.27,10.21,159.7,0.679,0,0,167.4262
5/2/2023 1:00,1.27,10.56,159.6,0.678,0,0,167.322
5/2/2023 2:00,1.26,9.81,159.5,0.6749,0,0,167.2199
5/2/2023 3:00,1.25,9.49,159.7,0.6705,0,0,167.4348
5/2/2023 4:00,1.26,8.75,159.5,0.678,0,0,167.2167
5/2/2023 5:00,1.24,8.66,159.4,0.6675,0,0,167.122
5/2/2023 6:00,27.02,9.31,159.4,14.4548,0,0,153.3347
5/2/2023 7:00,242.1,11.3,159,124.7122,0,0,42.6562
5/2/2023 8:00,420.41,12.82,158.6,166.9474,40.689,0,0
5/2/2023 9:00,565.54,12.96,163.4,172,99.0118,0,0
5/2/2023 10:00,625.77,13.75,166.4,175.1579,120.3307,0,0
5/2/2023 11:00,783.63,14.07,166.3,175.0526,183.918,0,0
5/2/2023 12:00,732.83,13.94,161.6,170.1053,168.6206,0,0
5/2/2023 13:00,754.75,14.21,165.2,173.8947,173.335,0,0
5/2/2023 14:00,437.71,13.8,160.9,169.3684,45.125,0,0
5/2/2023 15:00,323.55,13.06,163.6,163.4732,0,9.1972,0
5/2/2023 16:00,168.76,12.27,160.7,87.4207,0,86.0391,0
5/2/2023 17:00,53.55,11.9,160.7,28.2214,0,148.3542,0
5/2/2023 18:00,1.7,11.25,161.1,0.9047,0,177.5518,0
5/2/2023 19:00,1.24,11.11,165.1,0.6604,0,182.2412,0
5/2/2023 20:00,1.23,10.88,166.9,0.6557,0,184.2405,0
5/2/2023 21:00,1.23,10.56,167,0.6566,0,43.4063,133.8969
5/2/2023 22:00,1.24,10.56,163,0.662,0,0,170.917
5/2/2023 23:00,1.24,10.42,163,0.6624,0,0,170.9166
5/3/2023 0:00,1.25,10,159.8,0.669,0,0,167.5416
5/3/2023 1:00,1.23,9.86,160,0.6587,0,0,167.7624
5/3/2023 2:00,1.24,9.26,160.2,0.6658,0,0,167.9658
5/3/2023 3:00,1.22,8.38,160.1,0.6575,0,0,167.8688
5/3/2023 4:00,1.23,8.98,160.2,0.6612,0,0,167.9704
5/3/2023 5:00,1.22,8.94,160.2,0.6559,0,0,167.9756
5/3/2023 6:00,25.61,9.12,157.3,13.7145,0,0,151.8645
5/3/2023 7:00,173.76,10.23,159.4,90.7825,0,0,77.0069
5/3/2023 8:00,287.83,11.92,164.9,146.9217,0,0,26.6573
5/3/2023 9:00,395.99,12.96,166.8,175.5789,21.437,0,0
5/3/2023 10:00,492.32,12.92,166.3,175.0526,64.5958,0,0
5/3/2023 11:00,305.56,12.31,161.3,155.3099,0,15.2417,0
5/3/2023 12:00,379.75,12.41,161.2,169.6842,20.1965,0,0
5/3/2023 13:00,338.23,12.22,161.1,169.5789,1.5475,0,0
